"Year","PDO1","PDO2","PDO3","species","catch"
1990,-0.752,-1.189,-1.07466666666667,"Pink-even",NA
1991,-1.626,-0.764,-0.76,"Pink-even",0.0976729262566716
1992,0.098,0.204,-0.406,"Pink-even",NA
1993,0.31,0.475,0.349333333333333,"Pink-even",1.15640006226472
1994,0.64,-0.142,0.0086666666666666,"Pink-even",NA
1995,-0.924,-0.155,0.11,"Pink-even",0.897231043858991
1996,0.614,0.455,-0.00466666666666675,"Pink-even",NA
1997,0.296,0.783,0.726666666666667,"Pink-even",1.0079433452593
1998,1.27,0.159,0.204666666666667,"Pink-even",NA
1999,-0.952,-1.268,-0.422,"Pink-even",0.468092623442049
2000,-1.584,-0.853,-0.886,"Pink-even",NA
2001,-0.122,-0.553,-0.896666666666667,"Pink-even",0.72134921840646
2002,-0.984,0.173,0.0746666666666665,"Pink-even",NA
2003,1.33,0.539,0.0313333333333332,"Pink-even",0.940137280504426
2004,-0.252,-0.251,0.276,"Pink-even",NA
2005,-0.25,-0.299,-0.283333333333333,"Pink-even",0.401150276313295
2006,-0.348,-0.542,-0.444666666666667,"Pink-even",NA
2007,-0.736,-1.004,-0.785333333333333,"Pink-even",0.63822406931999
2008,-1.272,-1.473,-1.22733333333333,"Pink-even",NA
2009,-1.674,-0.989,-1.08333333333333,"Pink-even",1.03916054598979
2010,-0.304,-0.957,-1.196,"Pink-even",NA
2011,-1.61,-1.79,-1.29466666666667,"Pink-even",0.275193459518999
2012,-1.97,-1.511,-1.544,"Pink-even",NA
2013,-1.052,-0.831,-1.21066666666667,"Pink-even",0.844828769202044
2014,-0.61,0.525,-0.000666666666666875,"Pink-even",NA
2015,1.66,1.263,0.638666666666666,"Pink-even",-0.665728600749517
2016,0.866,0.611,0.960666666666667,"Pink-even",NA
2017,0.356,0.08,0.342,"Pink-even",-0.540037509483051
2018,-0.196,-0.275,-0.0646666666666668,"Pink-even",NA
2019,-0.354,-0.55575,-0.435833333333333,"Pink-even",NA
1963,-0.082,-0.0430000000000001,-0.460666666666667,"Pink-odd",NA
1964,-0.00399999999999999,-0.315,-0.237333333333333,"Pink-odd",-1.24951388501294
1965,-0.626,-0.463,-0.31,"Pink-odd",NA
1966,-0.3,-0.391,-0.469333333333333,"Pink-odd",-2.4557422198305
1967,-0.482,-0.379,-0.352666666666667,"Pink-odd",NA
1968,-0.276,-0.493,-0.489333333333333,"Pink-odd",-1.01436094645767
1969,-0.71,0.129,-0.00600000000000014,"Pink-odd",NA
1970,0.968,-0.154,-0.339333333333333,"Pink-odd",-1.09914583497525
1971,-1.276,-1.519,-0.69,"Pink-odd",NA
1972,-1.762,-1.095,-1.15533333333333,"Pink-odd",-2.02973581618459
1973,-0.428,-0.82,-1.134,"Pink-odd",NA
1974,-1.212,-0.8,-0.676,"Pink-odd",-1.72924918568229
1975,-0.388,-0.864,-0.98,"Pink-odd",NA
1976,-1.34,-0.106,-0.2,"Pink-odd",-0.892680455274063
1977,1.128,0.743,0.0486666666666665,"Pink-odd",NA
1978,0.358,-0.118,0.297333333333333,"Pink-odd",-0.310964815700815
