Year,SST1,SST2,SST3,species,catch
1994,6.319814708,5.774553834,5.703064775,Pink-even,NA
1995,5.22929296,5.359338933,5.679497525,Pink-even,0.897231044
1996,5.489384906,5.464606812,5.386168861,Pink-even,NA
1997,5.439828718,5.931343515,5.784023979,Pink-even,1.007943345
1998,6.422858311,6.271075727,5.993993391,Pink-even,NA
1999,6.119293143,5.722382434,5.955874393,Pink-even,0.468092623
2000,5.325471726,5.671765514,5.82094139,Pink-even,NA
2001,6.018059302,5.707251554,5.579991612,Pink-even,0.721349218
2002,5.396443806,6.167269295,6.117532631,Pink-even,NA
2003,6.938094784,6.414977434,6.075466225,Pink-even,0.940137281
2004,5.891860084,5.892401458,6.2409659,Pink-even,NA
2005,5.892942831,5.83823334,5.856108921,Pink-even,0.401150276
2006,5.783523848,5.486141241,5.621741771,Pink-even,NA
2007,5.188758634,5.166726227,5.372325434,Pink-even,0.638224069
2008,5.144693819,5.049024777,5.095602729,Pink-even,NA
2009,4.953355734,5.35126917,5.28241072,Pink-even,1.039160546
2010,5.749182606,5.732218415,5.472597521,Pink-even,NA
2011,5.715254224,5.310382,5.456648869,Pink-even,0.27519346
2012,4.905509777,5.222226702,5.386569209,Pink-even,NA
2013,5.538943628,5.775592495,5.485564922,Pink-even,0.844828769
2014,6.012241361,6.5648141,6.222857276,Pink-even,NA
2015,7.117386838,6.972531136,6.652434545,Pink-even,-0.665728601
2016,6.827675434,6.690027676,6.83248073,Pink-even,NA
2017,6.552379918,6.368290843,6.52141904,Pink-even,-0.540037509
2018,6.184201769,6.620970331,6.59810686,Pink-even,NA
2019,7.057738893,NA,NA,Pink-even,NA
1963,6.121237871,6.225244324,5.997897781,Pink-odd,NA
1964,6.329250777,5.636860949,5.798319923,Pink-odd,-1.249513885
1965,4.944471121,5.194273604,5.572599328,Pink-odd,NA
1966,5.444076087,5.354836975,5.218048357,Pink-odd,-2.45574222
1967,5.265597864,5.451372963,5.448940671,Pink-odd,NA
1968,5.637148063,5.189118252,5.214611456,Pink-odd,-1.014360946
